Base location,Destination,Mode of transport,CO2 Emission (in Kg)
China,Brazil,Sea,66.410077
USA,Canada,Sea,283.0444658
China,London,Air,5.346165631
USA,Canada,Air,8.346837977
Japan,London,Air,12.07371378
China,London,Train,886.0116431
Germany,Australia,Sea,50.03182094
Germany,Italy,Train,3518.75778
China,Brazil,Train,1993.302144
Germany,Canada,Sea,822.4155371
Belgium,Canada,Air,3.610684259
Germany,Canada,Air,4.352780799
China,Australia,Sea,1016.068745
Germany,Italy,Train,706.6084105
Belgium,Brazil,Train,439.6256994
Belgium,London,Sea,744.1081788
Germany,Australia,Sea,75.15529667
Germany,Italy,Sea,164.8957184
China,London,Train,2104.712403
Germany,Canada,Air,13.09516529
China,London,Air,21.68459245
Japan,Brazil,Train,5315.564486
Germany,Canada,Air,13.73685764
Belgium,London,Air,13.28272186
Japan,Canada,Sea,99.47741232
Japan,Italy,Train,2916.969511
China,London,Sea,1267.403102
China,Australia,Sea,220.9642792
Germany,Brazil,Sea,111.9437012
Japan,Brazil,Train,789.9750731
China,Italy,Air,27.2471953
Germany,Australia,Train,2253.698453
Belgium,Canada,Air,16.50751917
Germany,Italy,Air,36.59276098
China,London,Train,7783.317052
Belgium,Australia,Train,2785.553712
Japan,Brazil,Sea,156.9095342
Germany,London,Train,4728.828787
Japan,Australia,Train,2060.564195
Belgium,Italy,Sea,85.7799858
USA,Canada,Sea,351.1222555
USA,London,Train,2872.918916
Belgium,Canada,Air,19.59533825
Belgium,Brazil,Air,1.848107955
Germany,Italy,Train,736.3568606
Japan,Brazil,Sea,207.8427669
USA,Italy,Train,2795.369909
Japan,Canada,Sea,298.0022546
USA,London,Sea,289.8119324
Belgium,London,Air,6.039426993
USA,Canada,Train,2874.598566
Japan,Australia,Train,1780.191646
China,Italy,Air,23.37909363
Japan,Italy,Sea,712.5118051
Japan,Italy,Train,696.8204542
Germany,Australia,Sea,157.8732345
Japan,London,Train,135.056929
China,Australia,Sea,266.7360845
USA,Brazil,Air,19.96024491
Belgium,Brazil,Train,722.8340054
China,Brazil,Train,893.7135109
China,Australia,Train,1666.056107
Germany,Brazil,Air,13.35697879
Japan,Brazil,Air,4.343202314
USA,Italy,Train,339.7286552
USA,London,Train,1859.713678
USA,London,Air,6.389543158
Germany,Australia,Sea,300.3606223
Belgium,London,Air,20.05277604
Belgium,Canada,Sea,52.87463737
Germany,Australia,Air,17.59885416
Germany,London,Air,8.575920791
Belgium,Brazil,Sea,797.0231389
Japan,Italy,Air,20.9965315
USA,London,Train,728.9842024
USA,Canada,Air,26.73982984
Germany,London,Air,43.92973248
Belgium,Italy,Air,12.56408357
USA,London,Train,139.259017
Belgium,Australia,Train,2487.762252
China,Australia,Air,15.78050305
China,Italy,Train,1272.592138
USA,Italy,Sea,64.21760736
Japan,Italy,Air,9.59381321
Belgium,Canada,Train,1937.829238
Japan,Canada,Train,759.3014199
Belgium,Brazil,Sea,428.5387937
China,London,Air,2.360861539
China,Australia,Air,8.497472408
USA,Australia,Sea,402.7448218
Germany,Brazil,Air,25.00877233
USA,Brazil,Air,31.90209054
Germany,London,Air,1.672760975
Germany,London,Sea,433.4381587
USA,Australia,Sea,583.7144386
Germany,Canada,Air,31.97624933
China,Australia,Air,19.62121013
Germany,Brazil,Sea,105.1182294
Germany,Italy,Train,5147.845789
China,Canada,Sea,418.3346427
Japan,London,Air,6.259781323
China,Brazil,Air,15.95436361
Belgium,Canada,Air,29.02885071
USA,London,Train,1012.582987
Belgium,London,Sea,67.0809358
China,London,Air,11.58348143
Belgium,Italy,Sea,361.8241289
Germany,Canada,Air,3.272813111
Belgium,Australia,Train,418.1891842
USA,Canada,Air,26.23523018
Germany,Australia,Train,5493.549129
Belgium,London,Air,2.577069015
Japan,Australia,Air,1.742443914
Belgium,Italy,Sea,273.6489225
USA,Australia,Air,0.912570853
Belgium,London,Air,8.773008939
Japan,Brazil,Train,453.5825683
USA,Australia,Air,18.30104486
Japan,Australia,Air,23.63725157
Belgium,Brazil,Sea,139.8571932
Germany,Canada,Sea,151.9476029
Japan,London,Air,14.46046716
USA,Brazil,Sea,414.2695097
China,London,Air,15.82031142
China,Canada,Train,196.7750754
Belgium,Brazil,Air,14.24799299
Belgium,Brazil,Train,1594.346347
Germany,Italy,Sea,85.57627679
China,Italy,Sea,949.0723755
USA,Brazil,Sea,41.04629528
Germany,Italy,Air,13.26608087
Belgium,Canada,Sea,34.3151225
Germany,London,Train,4421.380924
Belgium,London,Air,5.5101263
Belgium,Australia,Air,0.664298633
Japan,Australia,Train,2434.324913
China,London,Train,1483.749906
USA,Australia,Train,996.7412761
Japan,Italy,Air,16.30479444
Japan,Australia,Train,6195.260429
Japan,London,Air,6.53841871
Germany,Brazil,Air,9.530262797
Japan,Canada,Air,15.6052893
USA,Brazil,Sea,709.578957
China,Italy,Sea,150.9439372
China,Canada,Train,1155.728937
China,Brazil,Train,2388.099437
Belgium,Brazil,Air,6.817373116
USA,London,Sea,792.4749808
Germany,Italy,Air,13.59231903
China,Italy,Sea,421.2961341
China,London,Train,1116.197316
China,London,Train,845.8688812
Germany,Canada,Train,1211.804987
USA,Italy,Sea,42.49007644
Japan,Brazil,Sea,950.2651638
Belgium,Brazil,Sea,263.2893268
Germany,Australia,Sea,690.0472684
Germany,London,Sea,201.9219731
Germany,Canada,Air,10.38986758
China,Italy,Air,3.998958893
Japan,Italy,Train,1511.843607
China,Italy,Air,38.1694032
USA,Italy,Train,2793.081552
Belgium,Australia,Train,1250.257396
Germany,Canada,Sea,758.665788
USA,London,Train,3392.322957
USA,Brazil,Sea,448.902814
China,Italy,Air,37.18419336
China,Canada,Train,1753.07598
Germany,London,Train,1525.377169
China,Italy,Train,2216.529401
Japan,Brazil,Train,488.0393064
Belgium,Italy,Train,266.5199888
USA,Australia,Train,2197.53467
Belgium,Brazil,Train,2168.027607
Germany,London,Air,3.957740035
Germany,Canada,Sea,320.0952493
USA,Canada,Train,5089.683945
China,London,Train,9821.550305
China,Italy,Train,907.6036621
USA,Canada,Sea,271.5430215
Germany,Italy,Sea,44.81160611
Belgium,London,Air,4.47777802
Belgium,Australia,Train,1578.791735
Germany,Brazil,Air,3.162669732
USA,Canada,Air,8.851236156
China,Italy,Air,4.944159649
USA,Brazil,Sea,61.37700534
Japan,Italy,Air,5.769639761
Germany,London,Sea,420.4325428
USA,Canada,Train,7839.737362
China,Canada,Train,4763.149798
Germany,Italy,Air,3.43329596
China,Canada,Sea,140.8266488
USA,London,Sea,39.64016979
USA,London,Train,1548.802904
Belgium,London,Air,3.00028414
Belgium,Canada,Train,1328.794762
USA,Brazil,Sea,136.6346478
Germany,Australia,Train,517.8520049
Japan,Brazil,Air,1.231757099
China,London,Sea,75.96779298
Japan,Australia,Train,2230.351379
Germany,Brazil,Train,5796.2749
China,London,Sea,112.1569285
USA,Canada,Train,513.5146409
Germany,Australia,Train,394.1167721
Belgium,Canada,Sea,232.2409782
Belgium,London,Sea,462.1378684
Belgium,Italy,Sea,82.41587084
China,Brazil,Sea,96.60032908
Germany,Italy,Air,1.359166712
China,Brazil,Train,7481.498632
China,London,Train,2139.131023
USA,Australia,Train,3460.400286
USA,Brazil,Train,742.7829014
Japan,Brazil,Train,2180.453961
Germany,Brazil,Sea,126.4886561
Japan,Brazil,Sea,472.8925339
China,Italy,Sea,202.86631
Belgium,Canada,Train,5140.747637
Germany,Australia,Air,55.60497254
Japan,Australia,Sea,573.5805016
Germany,Brazil,Sea,1021.147337
Belgium,London,Train,301.4550495
USA,London,Sea,466.5293726
Germany,Canada,Air,4.238132123
Japan,Canada,Air,18.49542523
USA,Italy,Train,2263.738815
Japan,London,Air,10.92881155
Japan,Australia,Train,383.3938413
Germany,Canada,Air,7.425426277
China,Brazil,Air,2.383443518
Japan,Italy,Train,3277.189802
China,Australia,Sea,145.0764127
China,Italy,Sea,208.2326375
Germany,Italy,Air,4.625551327
Germany,Brazil,Train,529.0901824
USA,Brazil,Sea,90.01314146
USA,Canada,Sea,397.1483873
USA,Canada,Air,3.528113305
Japan,Brazil,Air,3.517446736
Japan,Brazil,Train,149.9459374
USA,Australia,Air,7.867267011
USA,Brazil,Air,3.900726666
USA,London,Sea,36.17663929
USA,London,Train,1261.442974
Japan,London,Air,10.0913268
USA,Brazil,Sea,236.585965
Japan,London,Sea,162.4307952
Germany,Australia,Air,19.67990997
Belgium,Canada,Sea,741.683747
Japan,London,Air,15.41008964
USA,Italy,Air,9.86504588
Japan,Australia,Sea,249.1199494
Germany,Canada,Sea,636.2933116
Germany,Italy,Sea,120.3769677
Japan,Canada,Air,12.35613496
China,London,Sea,359.4075014
Japan,Italy,Sea,74.87527607
USA,Brazil,Air,47.45101621
Japan,Italy,Train,1509.730792
Belgium,London,Train,3252.525354
China,Italy,Air,9.078659766
Japan,Italy,Air,18.24299558
China,Italy,Train,11182.9408
Japan,Australia,Air,48.45079771
Germany,Brazil,Sea,361.9181719
Japan,Brazil,Sea,96.40645573
China,Canada,Air,9.078355799
Japan,Australia,Sea,511.9123316
Germany,Italy,Train,2626.706706
Japan,Brazil,Sea,733.6640281
China,London,Train,1431.714743
China,Australia,Train,4191.817812
Japan,Brazil,Train,6704.713757
Belgium,Italy,Train,8623.238698
Germany,Italy,Sea,57.24829116
Belgium,Italy,Train,2694.660048
Belgium,London,Air,27.99375164
USA,Canada,Train,1439.341683
Japan,Australia,Sea,623.5757896
Germany,London,Train,2209.287999
Japan,Italy,Air,14.98599132
China,Italy,Air,3.5390619
China,Italy,Sea,375.4924171
USA,London,Air,3.272164354
Germany,Italy,Train,1215.222484
Japan,Australia,Air,7.830861095
Belgium,Brazil,Sea,208.1887668
Japan,Italy,Air,14.83280244
China,London,Train,3934.061552
USA,London,Sea,224.9562282
Japan,Brazil,Sea,652.7911216
Belgium,Brazil,Sea,1026.467168
Japan,Brazil,Air,12.94254514
USA,Italy,Sea,747.3187386
Japan,Australia,Sea,215.392006
USA,London,Train,984.8778613
Japan,London,Air,21.2229349
China,Canada,Sea,477.847872
China,Canada,Train,1444.309838
Japan,Italy,Air,5.86531681
Germany,Italy,Air,49.22379418
USA,Canada,Sea,108.5848644
China,London,Sea,170.6471842
Japan,London,Sea,194.6315526
Germany,Canada,Train,3359.703958
USA,London,Train,2267.046676
China,Canada,Air,5.001527971
Belgium,London,Air,2.942592291
Japan,Italy,Air,9.542775095
Belgium,London,Sea,76.88374886
Japan,Italy,Train,1564.789464
Germany,Canada,Train,2745.779376
China,Brazil,Air,4.969778479
Germany,London,Train,2758.182744
Germany,Australia,Train,1025.788723
Belgium,Brazil,Train,596.9970412
Japan,Brazil,Sea,199.6096669
Japan,Canada,Sea,249.289673
Belgium,London,Air,9.618940972
Belgium,Canada,Air,5.566892896
Germany,Italy,Air,4.713696577
Germany,London,Sea,134.4336339
Belgium,London,Air,8.61264773
Japan,London,Air,6.703451098
China,Canada,Sea,373.221645
Belgium,Brazil,Air,41.93021751
Belgium,Canada,Air,21.69099065
Japan,London,Train,462.3111411
China,Canada,Air,21.00026789
Germany,Brazil,Sea,559.3629267
Belgium,Brazil,Train,1559.297512
China,Italy,Sea,115.8546654
China,Canada,Sea,214.6347704
Germany,Canada,Sea,160.6469837
Japan,Italy,Train,2877.734464
Germany,Canada,Train,3751.694938
China,Brazil,Train,2998.509412
Germany,Canada,Train,62.01203535
USA,Brazil,Air,12.54377606
Germany,Italy,Sea,439.4946826
Germany,Canada,Sea,850.3416054
Japan,London,Sea,613.8738573
Japan,Italy,Sea,609.4374281
Japan,London,Sea,511.0305555
Belgium,Italy,Air,10.60181498
Germany,Australia,Train,409.4710856
Germany,London,Train,1150.651713
Japan,Australia,Air,15.88435957
USA,Italy,Air,11.88815441
Belgium,Canada,Sea,49.38957957
Belgium,Australia,Sea,86.26831732
USA,Australia,Air,6.732418866
Germany,London,Train,2333.996358
Japan,Australia,Train,6634.533701
USA,Italy,Air,2.964208269
China,London,Train,225.0256124
Germany,Brazil,Sea,575.8054796
Germany,Australia,Air,7.630325987
Germany,Brazil,Sea,393.7645033
Germany,London,Train,2300.970774
Germany,Italy,Sea,223.712956
China,Canada,Train,779.8593744
USA,Italy,Train,2558.582075
Germany,Australia,Train,1640.097685
USA,Canada,Sea,296.9595849
USA,Canada,Sea,105.2212866
Germany,Brazil,Train,747.8856822
Belgium,London,Sea,128.1658677
Japan,Italy,Air,23.00015129
Japan,London,Sea,224.9846508
USA,London,Air,24.27415667
USA,Italy,Sea,602.0191659
Japan,Australia,Sea,302.7668827
Japan,London,Train,1096.425884
Belgium,London,Air,2.599300045
China,Italy,Sea,83.0263162
Belgium,Italy,Sea,51.41265442
Germany,Australia,Air,3.227207578
USA,Canada,Air,8.66148343
USA,Australia,Sea,238.7313756
Germany,Brazil,Air,5.150957355
Japan,Australia,Train,1711.706552
Germany,Canada,Air,4.664717228
Germany,Australia,Train,2625.013993
Belgium,Brazil,Train,1089.185591
USA,Australia,Sea,253.4413428
USA,Canada,Air,8.982178601
Belgium,Italy,Sea,238.2026547
Japan,Australia,Sea,61.47998547
Japan,Canada,Sea,359.9136054
Germany,London,Train,1947.584986
China,London,Sea,221.1010431
Japan,Italy,Air,7.077182993
Japan,London,Air,15.41195707
Belgium,London,Train,1621.996305
Germany,Australia,Train,1096.577991
Japan,Canada,Train,1918.988933
Germany,Italy,Sea,554.3721915
Japan,Canada,Air,15.01465036
China,Brazil,Air,3.318910295
Japan,Italy,Air,4.852394068
Japan,Italy,Air,9.673090827
USA,Italy,Air,2.213323737
Japan,Brazil,Air,2.541703983
USA,London,Train,6355.007057
Germany,Italy,Train,1818.8098
Belgium,Italy,Air,7.456060096
Germany,Brazil,Sea,120.1577755
Japan,Australia,Air,21.75048815
USA,Australia,Train,2028.446503
Belgium,Brazil,Air,6.032165433
Germany,Brazil,Sea,90.64826922
Japan,Italy,Air,5.032136722
China,London,Train,2922.641662
China,London,Sea,151.8235758
Japan,Brazil,Sea,380.76076
Germany,Italy,Air,4.980617035
Belgium,Italy,Train,270.6858556
Japan,Canada,Air,35.54008627
Belgium,Brazil,Train,1125.066553
Germany,Brazil,Sea,188.9616548
Belgium,Brazil,Air,1.366751959
China,Italy,Train,2840.034421
China,Australia,Air,16.13328113
USA,London,Train,1211.622979
Germany,Australia,Sea,150.5701784
China,Canada,Train,1782.453994
Belgium,Australia,Air,14.12736885
China,Italy,Sea,312.8964673
China,Brazil,Train,2898.966395
China,Australia,Air,3.898972003
Germany,Brazil,Air,8.919533989
Germany,Brazil,Sea,155.1727118
USA,Australia,Sea,535.0500754
USA,Italy,Train,5030.153367
Belgium,London,Sea,548.1233474
Japan,Australia,Air,1.851634658
China,Australia,Air,27.89176331
USA,London,Sea,392.2834988
Japan,Australia,Train,1769.6304
Germany,London,Air,7.84725321
China,Australia,Sea,336.267311
China,London,Air,17.1031091
Belgium,Canada,Sea,718.3129795
USA,London,Air,6.449276201
Japan,Canada,Train,572.4633373
China,Brazil,Train,4629.20969
China,Italy,Sea,124.0965122
Japan,Brazil,Sea,251.111046
Belgium,London,Air,34.66112809
USA,Canada,Sea,142.6558106
Japan,London,Train,1055.356495
Japan,Italy,Train,1961.07443
China,Canada,Air,6.341409555
Belgium,Brazil,Sea,209.3503251
China,Australia,Air,2.455568542
Japan,Canada,Air,1.886161721
Japan,London,Sea,103.8114278
China,Italy,Air,41.05295312
Belgium,London,Sea,309.7928885
China,Canada,Air,3.70850101
Germany,Australia,Train,4130.10698
Japan,Australia,Train,516.1826132
Japan,Brazil,Sea,178.603606
China,London,Air,3.208307275
USA,Brazil,Sea,285.4849146
China,Brazil,Train,7933.466081
China,Brazil,Air,3.089630379
Japan,Australia,Train,2121.009172
Germany,Brazil,Train,499.730849
China,Italy,Air,4.050850806
USA,Brazil,Sea,576.2500984
Germany,Italy,Train,6809.704998
Belgium,Canada,Sea,413.8087593
Germany,Canada,Train,2845.823649
USA,Italy,Train,1588.248767
Japan,London,Train,2119.155634
USA,London,Train,4046.587205
USA,Brazil,Sea,136.9590482
Japan,Italy,Sea,45.65809791
Germany,London,Air,2.881143186
USA,Italy,Train,2412.974029
China,Australia,Air,9.070445884
USA,Australia,Train,334.5237592
Japan,Canada,Air,6.508455324
USA,Italy,Sea,170.9043365
USA,Canada,Air,2.934931577
Japan,Australia,Air,11.72751762
Belgium,Canada,Sea,330.0944255
Japan,Brazil,Train,1908.543332
Germany,Italy,Sea,214.7639938
China,Canada,Train,5667.19671
USA,Brazil,Air,20.32031095
USA,Australia,Sea,966.4530084
Germany,Canada,Train,650.0187378
Japan,Canada,Sea,539.8462321
Germany,Australia,Sea,35.36221015
Japan,Italy,Sea,372.0088138
Japan,Australia,Train,852.9589649
China,Australia,Train,1881.042897
China,Canada,Train,1441.243592
USA,Italy,Train,5117.546266
USA,Australia,Sea,163.4112057
China,Australia,Air,18.94262314
Belgium,London,Air,4.253723244
USA,Italy,Sea,268.4988736
Japan,Australia,Air,7.253985091
Germany,Brazil,Sea,482.3076399
Belgium,Australia,Sea,73.93250328
Japan,Australia,Sea,438.2604169
Japan,Canada,Train,2730.771275
China,Brazil,Sea,384.9056834
Germany,Italy,Sea,213.0039513
China,Australia,Train,331.9211431
Japan,Brazil,Sea,274.2005244
Germany,Australia,Train,746.5224888
Japan,London,Train,1644.057586
China,Brazil,Sea,60.51599375
Belgium,Italy,Air,41.43230283
China,Brazil,Air,23.99606707
Japan,London,Air,17.97687131
Japan,London,Air,17.84571459
USA,Australia,Train,1339.45353
China,Canada,Sea,678.6833853
Japan,Italy,Train,2983.787842
Japan,Italy,Air,2.571183188
Germany,Australia,Air,15.80829079
Japan,Italy,Sea,189.2584768
Japan,London,Train,1298.536439
Belgium,Brazil,Air,2.520235276
Germany,Australia,Air,34.359085
Belgium,Canada,Train,1961.697527
Belgium,Brazil,Sea,378.3261454
USA,Australia,Sea,201.7462764
Japan,Canada,Air,8.475989735
USA,Canada,Train,2097.448299
Belgium,Brazil,Air,11.08807228
China,London,Sea,70.74119143
China,Italy,Air,13.33094364
Belgium,Australia,Air,2.912902229
Japan,Australia,Air,6.423202321
USA,Italy,Air,5.162703551
Germany,Italy,Train,1452.694471
Japan,London,Train,595.6371053
Japan,Australia,Air,7.182617111
China,Australia,Train,1265.997334
Belgium,Australia,Sea,484.644376
USA,Italy,Air,10.14337937
USA,Brazil,Train,5924.928494
Belgium,London,Sea,227.5305669
Belgium,London,Train,185.5735547
USA,London,Air,3.33268232
Japan,Canada,Air,7.897826127
China,London,Sea,646.3003554
Japan,Australia,Sea,599.8581509
China,Italy,Air,3.074391853
Germany,London,Sea,343.2804119
USA,Canada,Air,4.351223546
Japan,Canada,Sea,212.9451874
Japan,Italy,Train,276.7404652
Belgium,Italy,Train,1402.359896
Belgium,Brazil,Sea,523.817987
China,London,Sea,253.9149831
Germany,Brazil,Train,395.7613392
USA,Italy,Sea,342.537836
Germany,Brazil,Sea,134.0636164
China,Canada,Sea,804.607407
China,Brazil,Air,10.88279972
China,London,Sea,504.9579434
China,Canada,Sea,354.6609072
USA,London,Air,6.800884182
Japan,Canada,Sea,403.0937677
Germany,Brazil,Sea,323.8855925
China,Brazil,Sea,133.3373364
USA,Italy,Air,21.361914
Belgium,London,Sea,524.8918604
China,Australia,Train,3455.639203
China,Canada,Train,1612.324788
Germany,Australia,Train,396.5573276
China,Italy,Sea,165.9067811
USA,Australia,Air,1.584425857
Germany,Italy,Train,711.332936
Belgium,Brazil,Air,0.766707269
Belgium,Brazil,Sea,413.7780872
Japan,Italy,Train,1597.420106
Belgium,Italy,Sea,1958.506494
USA,Italy,Train,883.170361
Belgium,Australia,Air,27.92392943
Germany,Italy,Sea,775.0953409
China,Italy,Air,34.28168359
Germany,Canada,Sea,177.2098236
Belgium,Brazil,Sea,186.7672028
USA,Canada,Train,2971.2817
USA,Brazil,Air,10.0635879
Belgium,Brazil,Sea,62.79591732
Japan,Italy,Sea,265.1953813
Belgium,Brazil,Sea,437.7847004
USA,London,Air,12.86982168
China,Australia,Sea,136.3216196
China,London,Air,18.80322763
Germany,Australia,Train,955.1582985
China,London,Train,4314.61577
Japan,Canada,Train,621.3723849
China,London,Air,2.188434071
Japan,Italy,Air,5.714259325
USA,Australia,Sea,521.3218529
Belgium,Brazil,Train,445.6200986
USA,Australia,Sea,162.6537931
Germany,Canada,Sea,110.0546843
USA,Brazil,Train,416.1097312
China,Canada,Train,3256.939776
Japan,London,Air,1.261436756
Japan,Canada,Air,7.615671414
Japan,Italy,Sea,312.155088
China,Brazil,Air,3.031896713
China,Brazil,Air,25.64086105
China,Canada,Sea,289.9063812
USA,Brazil,Sea,177.4488435
Belgium,Canada,Train,2615.256918
China,Australia,Air,7.198903255
Germany,Brazil,Air,2.384031339
China,Canada,Train,2144.318769
Germany,Italy,Air,39.84365465
USA,Canada,Sea,269.931584
China,Italy,Air,15.00390159
China,Australia,Train,252.8189559
China,Brazil,Train,2542.571184
Japan,London,Train,5135.171589
Germany,London,Air,3.63730775
USA,London,Sea,72.64765894
China,Italy,Train,3429.418266
China,London,Sea,190.9040225
Belgium,Canada,Air,9.183874733
Japan,Australia,Sea,582.5256595
Germany,Brazil,Sea,984.0061705
China,Italy,Sea,84.06799669
China,Australia,Air,24.03772604
Belgium,Italy,Train,464.7977054
USA,Italy,Air,25.16041466
Japan,Italy,Sea,42.22654377
Japan,Italy,Sea,291.758819
China,Canada,Train,335.7531579
Germany,London,Sea,99.77279876
Germany,Italy,Train,1457.886311
China,Italy,Air,4.989054514
Japan,Canada,Sea,131.9558086
Germany,London,Air,11.34096311
Belgium,Australia,Train,1916.421578
China,Canada,Air,10.33724479
Belgium,Australia,Air,3.966942293
China,London,Air,8.337532299
USA,Australia,Sea,254.8323057
Germany,London,Sea,178.8007865
USA,Italy,Train,5654.273174
Japan,London,Train,396.201901
Japan,London,Train,4011.43805
Belgium,Italy,Sea,413.2962668
Japan,Australia,Train,5578.921425
Japan,Canada,Air,17.55697453
China,Brazil,Sea,352.1815571
Belgium,Italy,Air,18.8423663
Japan,Australia,Air,5.190399125
Japan,London,Air,29.88085236
Japan,Brazil,Sea,25.87863068
Japan,Australia,Train,1119.969102
USA,Brazil,Air,2.589984747
Belgium,Italy,Train,666.9622762
Japan,Australia,Air,6.878559184
USA,London,Air,46.95464264
Germany,Brazil,Train,2543.545903
USA,Canada,Train,1474.782639
China,Italy,Train,2159.021723
Japan,Brazil,Air,10.1088801
USA,Brazil,Sea,205.3710644
Belgium,London,Sea,173.0413502
USA,Australia,Air,38.5741439
China,Brazil,Train,4740.765939
Japan,London,Train,982.2708492
China,Canada,Sea,71.3632926
Belgium,Italy,Train,5452.064101
China,Italy,Train,1154.184994
Japan,Brazil,Air,5.421285431
China,Italy,Train,1266.592609
USA,Canada,Sea,82.34613156
Belgium,Brazil,Train,1690.407894
China,Brazil,Train,1721.890554
Germany,Canada,Sea,35.09756447
China,London,Sea,233.9210755
China,Canada,Sea,525.2391979
Belgium,Canada,Air,13.74066234
China,Canada,Air,31.08439729
Germany,London,Air,28.41473884
USA,Italy,Train,2003.480786
Germany,London,Air,13.48694417
Germany,Canada,Train,757.083398
China,Brazil,Air,22.32994862
USA,Brazil,Sea,861.6116146
Germany,Canada,Sea,1392.668711
Germany,Italy,Train,4228.714276
Japan,Italy,Train,3909.335016
Japan,Brazil,Sea,102.7685792
Japan,Canada,Train,3030.916625
Germany,Italy,Air,11.61673583
Belgium,Italy,Air,1.338415215
USA,London,Sea,48.70717698
Belgium,Canada,Air,21.37411024
China,Canada,Train,609.1525097
Belgium,Italy,Air,1.880915149
China,Australia,Train,3310.206527
Japan,Italy,Air,17.56859381
USA,Italy,Train,846.7205138
Belgium,Italy,Air,8.506821251
Belgium,Brazil,Train,468.9893973
China,Brazil,Sea,302.2272037
USA,Brazil,Air,9.213008021
Japan,Italy,Sea,810.0017839
Japan,Australia,Air,5.3239539
Japan,Italy,Sea,1185.034011
Japan,Australia,Air,3.854974391
USA,Italy,Train,586.5881156
Belgium,Canada,Sea,514.1934749
Germany,Canada,Sea,389.4343243
USA,Canada,Train,1427.156758
Germany,Canada,Air,3.240019886
Germany,Brazil,Air,21.03383275
Germany,Brazil,Train,527.9269538
China,Canada,Train,399.5327642
Japan,Brazil,Air,19.26965741
USA,Canada,Sea,92.81281728
Japan,London,Air,19.82497169
China,Italy,Air,12.92522846
Germany,Italy,Air,5.727315539
USA,London,Air,10.4715422
China,London,Air,19.52958289
Germany,Australia,Air,16.19614646
Germany,Italy,Train,3845.04318
Japan,Italy,Air,8.916290114
Japan,Australia,Train,367.5639821
China,Brazil,Air,23.81461649
Japan,Australia,Sea,131.7539418
China,Brazil,Air,9.729807401
Germany,London,Train,6846.752469
Japan,Italy,Train,2401.517954
Japan,London,Sea,59.58220893
Belgium,Australia,Air,19.53265083
Germany,Brazil,Air,12.7703728
Japan,Brazil,Sea,486.8407867
Japan,Italy,Train,2526.022511
